,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
24,24,laguna,38.421,-121.4238,23.08,36,0,2.57,US,1699738853
55,55,blythe,33.6103,-114.5964,26.25,11,0,3.09,US,1699738605
101,101,sehwan,26.4279,67.863,21.81,22,0,0.96,PK,1699738898
145,145,campo formoso,-10.5075,-40.3214,25.78,34,0,1.69,BR,1699738842
306,306,mar del plata,-38.0023,-57.5575,25.01,77,0,3.6,AR,1699738936
346,346,awjilah,29.1081,21.2869,21.01,44,0,2.71,LY,1699738515
421,421,rodolfo sanchez taboada,31.7167,-116.5667,21.17,58,0,0.89,MX,1699738960
440,440,howrah,22.5892,88.3103,22.0,88,0,1.54,IN,1699738796
465,465,ukiah,39.1502,-123.2078,22.47,58,0,0.45,US,1699738967
466,466,aoulef,26.9667,1.0833,24.15,22,0,4.44,DZ,1699738967
480,480,siwa oasis,29.2041,25.5195,21.35,50,0,0.64,EG,1699738969
494,494,guerrero negro,27.9769,-114.0611,24.79,23,0,4.3,MX,1699738570
